Serial (序号)	Idiom (成语)	Frequency (频率)	HSK level (HSK级别)
3504:	李代桃僵	2	
3505:	照猫画虎	2	
3506:	自吹自擂	2	
3507:	予取予携	2	
3508:	量入为出	2	
3509:	聊备一格	2	
3510:	富可敌国	2	
3511:	聊以自慰	2	
3512:	雨过天青	2	
3513:	连中三元	2	
3514:	祸从口出	2	
3515:	厉兵秣马	2	
3516:	利欲熏心	2	
3517:	火烧火燎	2	
3518:	立地成佛	2	
3519:	积谷防饥	2	
3520:	狼吞虎咽	2	
3521:	口口相传	2	
3522:	客死他乡	2	
3523:	鸡犬不宁	2	
3524:	饿虎扑食	2	
3525:	扼腕长叹	2	
3526:	哭丧着脸	2	
3527:	仗势欺人	2	
3528:	刻骨仇恨	2	
3529:	张灯结彩	2	
3530:	急流勇进	2	
3531:	源源而来	2	
3532:	耳听八方	2	
3533:	张三李四	2	
3534:	急风骤雨	2	
3535:	招降纳叛	2	
3536:	苦思冥想	2	
3537:	多愁善感	2	
3538:	饥不择食	2	
3539:	积劳成疾	2	
3540:	来者居上	2	
3541:	对牛弹琴	2	
3542:	烂醉如泥	2	
3543:	郁郁不乐	2	
3544:	郁郁寡欢	2	
3545:	雁过拔毛	2	
3546:	苦中作乐	2	
3547:	夸父逐日	2	
3548:	浮光掠影	2	
3549:	宽宏大量	2	
3550:	胡思乱想	2	
3551:	大器晚成	2	
3552:	时移势易	2	
3553:	时移世易	2	
3554:	识途老马	2	
3555:	史不绝书	2	
3556:	陈辞滥调	2	
3557:	陈规陋习	2	
3558:	官样文章	2	
3559:	一针一线	2	
3560:	十二金钗	2	
3561:	耿耿於怀	2	
3562:	成王败寇	2	
3563:	成家立业	2	
3564:	一枕黄粱	2	
3565:	成败得失	2	
3566:	关门打狗	2	
3567:	朝令夕改	2	
3568:	手眼通天	2	
3569:	长年累月	2	
3570:	寡廉鲜耻	2	
3571:	常年累月	2	
3572:	守土有责	2	
3573:	刮目相待	2	
3574:	志士仁人	2	
3575:	收之桑榆	2	
3576:	长吁短叹	2	
3577:	朝不保夕	2	
3578:	关门闭户	2	
3579:	关怀备至	2	
3580:	收回成命	2	
3581:	乘龙快婿	2	
3582:	升官发财	2	
3583:	深情厚谊	2	
3584:	岂有此理	2	4
3585:	鬼迷心窍	2	
3586:	深山密林	2	
3587:	止戈为武	2	
3588:	衣不遮体	2	
3589:	驰名中外	2	
3590:	衣衫褴褛	2	
3591:	诡计多端	2	
3592:	遗老遗少	2	
3593:	舍本逐末	2	
3594:	颐养天年	2	
3595:	身价百倍	2	
3596:	神乎其技	2	
3597:	鬼哭狼嚎	2	
3598:	一槌定音	2	
3599:	坐冷板凳	2	
3600:	生生死死	2	
3601:	乘人之危	2	
3602:	广开言路	2	
3603:	乘其不备	2	
3604:	生拉硬扯	2	
3605:	归根结蒂	2	
3606:	一蹴可几	2	
3607:	承先启後	2	
3608:	归心似箭	2	
3609:	声誉鹊起	2	
3610:	生搬硬套	2	
3611:	猖獗一时	2	
3612:	冥思苦想	2	
3613:	不知凡几	2	
3614:	至死不变	2	
3615:	公正廉洁	2	
3616:	随人俯仰	2	
3617:	随遇而安	2	
3618:	後顾之忧	2	
3619:	孤军深入	2	
3620:	孤苦伶仃	2	
3621:	死心踏地	2	
3622:	死去活来	2	
3623:	不知深浅	2	
3624:	峥嵘岁月	2	
3625:	智勇双全	2	
3626:	送往迎来	2	
3627:	损公肥私	2	
3628:	索然无味	2	
3629:	不学无术	2	
3630:	谈情说爱	2	
3631:	袒胸露背	2	
3632:	一丘之貉	2	
3633:	天崩地裂	2	
3634:	替天行道	2	
3635:	沽名钓誉	2	
3636:	不言而谕	2	
3637:	所向无敌	2	
3638:	一生一世	2	
3639:	泰然自若	2	
3640:	泰山压顶	2	
3641:	不厌其详	2	
3642:	啧有烦言	2	
3643:	才貌双全	2	
3644:	插科打诨	2	
3645:	功德无量	2	
3646:	莺歌燕舞	2	
3647:	治丝益棼	2	
3648:	治国安邦	2	
3649:	侧目而视	2	
3650:	查无实据	2	
3651:	一无所得	2	
3652:	书生之见	2	
3653:	馋涎欲滴	2	
3654:	冥顽不灵	2	
3655:	一息尚存	2	
3656:	察言观色	2	
3657:	水火之中	2	
3658:	鼓乐喧天	2	
3659:	思前想後	2	
3660:	斯文扫地	2	
3661:	才子佳人	2	
3662:	丝丝入扣	2	
3663:	死得其所	2	
3664:	死不瞑目	2	
3665:	残渣余孽	2	
3666:	孤立无助	2	
3667:	水天一色	2	
3668:	公事公办	2	
3669:	沧海横流	2	
3670:	孤掌难鸣	2	
3671:	惨淡经营	2	
3672:	少不更事	2	
3673:	中西合璧	2	
3674:	高山仰止	2	
3675:	穷乡僻壤	2	
3676:	以直报怨	2	
3677:	合盘托出	2	
3678:	词不达意	2	
3679:	求贤若渴	2	
3680:	正人君子	2	
3681:	聪明智慧	2	
3682:	清心寡欲	2	
3683:	黑灯瞎火	2	
3684:	晴天霹雳	2	
3685:	情投意合	2	
3686:	聪明睿智	2	
3687:	曲径通幽	2	
3688:	春秋笔法	2	
3689:	闯荡江湖	2	
3690:	政通人和	2	
3691:	人地生疏	2	
3692:	高头大马	2	
3693:	好自为之	2	
3694:	群起效尤	2	
3695:	以一当十	2	
3696:	以战养战	2	
3697:	高深莫测	2	
3698:	以怨报德	2	
3699:	正心诚意	2	
3700:	垂涎欲滴	2	
3701:	清规戒律	2	
3702:	横扫千军	2	
3703:	厚积薄发	2	
3704:	因陋就简	2	
3705:	千山万水	2	
3706:	因祸得福	2	
3707:	大吹大擂	2	
3708:	大敌当前	2	
3709:	后会无期	2	
3710:	后会有期	2	
3711:	大好河山	2	
3712:	殷鉴不远	2	
3713:	后生可畏	2	
3714:	高出一筹	2	
3715:	千秋万代	2	
3716:	大彻大悟	2	
3717:	打马虎眼	2	
3718:	意在言外	2	
3719:	横征暴敛	2	
3720:	轻于鸿毛	2	
3721:	粗心大意	2	3
3722:	横行不法	2	
3723:	走为上策	2	
3724:	鸿篇巨制	2	
3725:	强干弱枝	2	
3726:	打落水狗	2	
3727:	强人所难	2	
3728:	溢於言表	2	
3729:	敲榨勒索	2	
3730:	人老珠黄	2	
3731:	何乐不为	2	
3732:	以点带面	2	
3733:	出口成章	2	
3734:	出乎意外	2	
3735:	若明若暗	2	
3736:	含情脉脉	2	
3737:	初试锋芒	2	
3738:	知法犯法	2	
3739:	以己度人	2	
3740:	容光焕发	2	
3741:	戎马生涯	2	
3742:	孺子可教	2	
3743:	如臂使指	2	
3744:	如狼似虎	2	
3745:	若有所失	2	
3746:	初生之犊	2	
3747:	仪态万方	2	
3748:	善罢干休	2	
3749:	上窜下跳	2	
3750:	各色各样	2	
3751:	上下其手	2	
3752:	上天入地	2	
3753:	山清水秀	2	
3754:	丧家之犬	2	
3755:	三教九流	2	
3756:	三从四德	2	
3757:	三妻四妾	2	
3758:	三人成虎	2	
3759:	倚老卖老	2	
3760:	日夜兼程	2	
3761:	如梦方醒	2	
3762:	以偏概全	2	
3763:	楚楚动人	2	
3764:	日久天长	2	
3765:	触景生情	2	
3766:	人亡政息	2	
3767:	人自为战	2	
3768:	人欲横流	2	
3769:	以邻为壑	2	
3770:	汗流浃背	2	
3771:	除暴安良	2	
3772:	好说歹说	2	
3773:	格物致知	2	
3774:	仰人鼻息	1	
3775:	钟灵毓秀	1	
3776:	摇唇鼓舌	1	
3777:	洋为中用	1	
3778:	指东划西	1	
3779:	周公吐哺	1	
3780:	争妍斗艳	1	
3781:	终南捷径	1	
3782:	置之不问	1	
3783:	置之不顾	1	
3784:	置诸度外	1	
3785:	曾经沧海	1	
3786:	珍禽异兽	1	
3787:	扬扬自得	1	
3788:	仗义疏财	1	
3789:	养生丧死	1	
3790:	知无不言	1	
3791:	志在千里	1	
3792:	扬幡招魂	1	
3793:	众星拱月	1	
3794:	直捣黄龙	1	
3795:	之乎者也	1	
3796:	蹑手蹑脚	1	
3797:	摇头摆脑	1	
3798:	纸上空谈	1	
3799:	忠贞不渝	1	
3800:	战天斗地	1	
3801:	蟾宫折桂	1	
3802:	赳赳武夫	1	
3803:	志在四方	1	
3804:	重起炉灶	1	
3805:	舐犊情深	1	
3806:	折冲樽俎	1	
3807:	扬扬得意	1	
3808:	醍醐灌顶	1	
3809:	知雄守雌	1	
3810:	正襟危坐	1	
3811:	遥呼相应	1	
3812:	指日可下	1	
3813:	有来有往	1	
3814:	以私害公	1	
3815:	以售其奸	1	
3816:	以身殉国	1	
3817:	以身许国	1	
3818:	以文乱法	1	
3819:	罪孽深重	1	
3820:	罪该万死	1	
3821:	罪加一等	1	
3822:	以夷制夷	1	
3823:	以人为镜	1	
3824:	以求一逞	1	
3825:	纨绔子弟	1	
3826:	孑然一身	1	
3827:	一脉相传	1	
3828:	以观后效	1	
3829:	左右两难	1	
3830:	一口一声	1	
3831:	瑕瑜互见	1	
3832:	左思右想	1	
3833:	杳无人烟	1	
3834:	醉死梦生	1	
3835:	栉风沐雨	1	
3836:	杳无踪影	1	
3837:	置之脑后	1	
3838:	一挥而就	1	
3839:	走马看花	1	
3840:	一呼百诺	1	
3841:	阴阳怪气	1	
3842:	因时制宜	1	
3843:	一家老小	1	
3844:	一箭之遥	1	
3845:	抑扬顿挫	1	
3846:	以镒称铢	1	
3847:	以儆效尤	1	
3848:	亦庄亦谐	1	
3849:	意气飞扬	1	
3850:	一介书生	1	
3851:	毅然决然	1	
3852:	杳无消息	1	
3853:	嫣然一笑	1	
3854:	遗世独立	1	
3855:	揠苗助长	1	
3856:	湮没无闻	1	
3857:	一团漆黑	1	
3858:	一文不名	1	
3859:	滂沱大雨	1	
3860:	一笑倾城	1	
3861:	一笑百媚	1	
3862:	荜路蓝缕	1	
3863:	一潭死水	1	
3864:	一事不知	1	
3865:	恻隐之心	1	
3866:	一仍旧贯	1	
3867:	怡然自得	1	
3868:	一日之长	1	
3869:	沐猴而冠	1	
3870:	一时之选	1	
3871:	一时半刻	1	
3872:	後发制人	1	
3873:	一泻千里	1	
3874:	衮衮诸公	1	
3875:	坐而论道	1	
3876:	依山傍水	1	
3877:	坐怀不乱	1	
3878:	伊於胡底	1	
3879:	作威作福	1	
3880:	一毛不拔	1	4
3881:	衣冠禽兽	1	
3882:	作如是观	1	
3883:	坐井观天	1	
3884:	咫尺天涯	1	
3885:	一叶知秋	1	
3886:	剜肉补疮	1	
3887:	一行作吏	1	
3888:	一隅之地	1	
3889:	坐视不救	1	
3890:	一柱擎天	1	
3891:	遐迩闻名	1	
3892:	一之为甚	1	
3893:	饮水思源	1	4
3894:	引颈受戮	1	
3895:	皓首穷经	1	
3896:	圆颅方趾	1	
3897:	追根寻底	1	
3898:	冤家对头	1	
3899:	源头活水	1	
3900:	追本溯源	1	
3901:	壮士断腕	1	
3902:	壮志凌云	1	
3903:	鸠占鹊巢	1	
3904:	欲壑难填	1	
3905:	御驾亲征	1	
3906:	铮铮铁骨	1	
3907:	雨後春笋	1	
3908:	睥睨一切	1	
3909:	自成一格	1	
3910:	自惭形秽	1	
3911:	玉堂金马	1	
3912:	羽扇纶巾	1	
3913:	羽毛丰满	1	
3914:	装神弄鬼	1	
3915:	越俎代庖	1	
3916:	载沉载浮	1	
3917:	蚍蜉撼树	1	
3918:	杂七杂八	1	
3919:	珠圆玉润	1	
3920:	赞口不绝	1	
3921:	造谣中伤	1	
3922:	造谣惑众	1	
3923:	葬身鱼腹	1	
3924:	抓耳挠腮	1	
3925:	晕晕沉沉	1	
3926:	月朗星稀	1	
3927:	一般见识	1	
3928:	一般无二	1	
3929:	云开雾散	1	
3930:	夜阑人静	1	
3931:	叶公好龙	1	
3932:	专心致志	1	
3933:	云雾迷蒙	1	
3934:	自成一家	1	
3935:	自高自大	1	
3936:	由衷之言	1	
3937:	勇者不惧	1	
3938:	永矢弗谖	1	
3939:	油盐酱醋	1	
3940:	自我表现	1	
3941:	有福同享	1	
3942:	一夫当关	1	
3943:	自投罗网	1	
3944:	影影绰绰	1	
3945:	一股脑儿	1	
3946:	英雄气短	1	
3947:	隐恶扬善	1	
3948:	引吭高歌	1	
3949:	英姿勃勃	1	
3950:	英姿勃发	1	
3951:	蝇营狗苟	1	
3952:	桀骜不逊	1	
3953:	应变无方	1	
3954:	有教无类	1	
3955:	有口难辩	1	
3956:	愚夫愚妇	1	
3957:	有隙可乘	1	
3958:	有头无尾	1	
3959:	余波未平	1	
3960:	一触即溃	1	
3961:	恣意妄为	1	
3962:	渔人得利	1	
3963:	余音绕梁	1	
3964:	有条有理	1	
3965:	飒爽英姿	1	
3966:	有口无心	1	4
3967:	一分一毫	1	
3968:	自始自终	1	
3969:	胼手胝足	1	
3970:	有气没力	1	
3971:	有始有终	1	
3972:	有始无终	1	
3973:	自取其咎	1	
3974:	蜚短流长	1	
3975:	排难解纷	1	
3976:	观者云集	1	
3977:	管中窥豹	1	
3978:	观望不前	1	
3979:	官运亨通	1	
3980:	官逼民反	1	
3981:	官官相卫	1	
3982:	光芒万丈	1	
3983:	光阴荏苒	1	
3984:	国仇家恨	1	
3985:	国家栋梁	1	
3986:	鬼蜮伎俩	1	
3987:	鬼哭神嚎	1	
3988:	归根结柢	1	
3989:	挂一漏万	1	
3990:	顾盼自雄	1	
3991:	狗眼看人	1	
3992:	狗仗人势	1	
3993:	狗血喷头	1	
3994:	狗血淋头	1	
3995:	狗屁不通	1	
3996:	孤芳自赏	1	
3997:	孤魂野鬼	1	
3998:	骨瘦如柴	1	
3999:	故步自封	1	
4000:	骨肉相连	1	
4001:	骨肉相残	1	
4002:	古为今用	1	
4003:	国无宁日	1	
4004:	过门不入	1	
4005:	浩浩汤汤	1	
4006:	浩然之气	1	
4007:	好整以暇	1	
4008:	好勇斗狠	1	
4009:	好学不倦	1	
4010:	好言好语	1	
4011:	和颜悦色	1	
4012:	何足道哉	1	
4013:	呼天抢地	1	
4014:	胡搅蛮缠	1	
4015:	红颜薄命	1	
4016:	黑白分明	1	
4017:	何罪之有	1	
4018:	好事之徒	1	
4019:	好好先生	1	
4020:	海底捞针	1	
4021:	含垢忍辱	1	
4022:	过犹不及	1	
4023:	过眼云烟	1	
4024:	过甚其词	1	
4025:	含笑九泉	1	
4026:	喊冤叫屈	1	
4027:	毫无疑义	1	
4028:	好吃懒做	1	
4029:	汗如雨下	1	
4030:	汗流夹背	1	
4031:	悍然不顾	1	
4032:	钩心斗角	1	
4033:	公子哥儿	1	
4034:	奉天承运	1	
4035:	夫唱妇随	1	
4036:	逢凶化吉	1	
4037:	逢山开路	1	
4038:	风雨不改	1	
4039:	风云际会	1	
4040:	扶危济困	1	
4041:	抚今追昔	1	
4042:	覆水难收	1	
4043:	付之一笑	1	
4044:	俯仰之间	1	
4045:	俯首听命	1	
4046:	俯拾皆是	1	
4047:	风刀霜剑	1	
4048:	风吹雨打	1	
4049:	非我族类	1	
4050:	飞蛾投火	1	
4051:	非驴非马	1	
4052:	访贫问苦	1	
4053:	方寸之地	1	
4054:	飞沙走石	1	
4055:	肥头大耳	1	
4056:	焚尸扬灰	1	
4057:	锋芒逼人	1	
4058:	焚林而猎	1	
4059:	分文不值	1	
4060:	分身无术	1	
4061:	父母之邦	1	
4062:	负荆请罪	1	
4063:	各有所短	1	
4064:	各执己见	1	
4065:	各不相让	1	
4066:	隔墙有耳	1	
4067:	高山流水	1	
4068:	割地求和	1	
4069:	攻其无备	1	
4070:	恭贺新禧	1	
4071:	公正不阿	1	
4072:	公正无私	1	
4073:	公明正大	1	
4074:	公而忘私	1	
4075:	躬逢其盛	1	
4076:	高官厚禄	1	
4077:	高唱入云	1	
4078:	改辕易辙	1	
4079:	概莫能外	1	
4080:	改换门庭	1	
4081:	改过自新	1	
4082:	富国强民	1	
4083:	干柴烈火	1	
4084:	甘心情愿	1	
4085:	刚直不阿	1	
4086:	钢筋铁骨	1	
4087:	感慨系之	1	
4088:	感慨万端	1	
4089:	感恩图报	1	
4090:	狐朋狗友	1	
4091:	湖光山色	1	
4092:	矫揉造作	1	
4093:	劫後馀生	1	
4094:	骄兵必败	1	
4095:	讲信修睦	1	
4096:	将门虎子	1	
4097:	江洋大盗	1	
4098:	借古讽今	1	
4099:	借酒浇愁	1	
4100:	金枝玉叶	1	
4101:	今夕何夕	1	
4102:	金屋藏娇	1	
4103:	金口玉牙	1	
4104:	筋疲力竭	1	
4105:	将错就错	1	
4106:	剑及履及	1	
4107:	坚如盘石	1	
4108:	坚贞不屈	1	4
4109:	坚强不屈	1	
4110:	假公济私	1	
4111:	加减乘除	1	
4112:	兼容并包	1	
4113:	缄口不言	1	
4114:	见笑大方	1	
4115:	见异思迁	1	
4116:	见财起意	1	
4117:	贱买贵卖	1	
4118:	简明扼要	1	
4119:	荆棘载途	1	
4120:	惊喜交加	1	
4121:	开怀畅饮	1	
4122:	看菜吃饭	1	
4123:	开国功臣	1	
4124:	绝路逢生	1	
4125:	具体而微	1	
4126:	决一雌雄	1	
4127:	看风使舵	1	
4128:	看家本事	1	
4129:	刻舟求剑	1	
4130:	空洞无物	1	
4131:	克勤克俭	1	
4132:	克己复礼	1	
4133:	看破红尘	1	
4134:	聚讼纷纭	1	
4135:	举世无敌	1	
4136:	敬谢不敏	1	
4137:	镜花水月	1	
4138:	经纬万端	1	
4139:	精神焕发	1	
4140:	精妙绝伦	1	
4141:	九泉之下	1	
4142:	九世之仇	1	
4143:	局促不安	1	
4144:	举国一致	1	
4145:	就汤下面	1	
4146:	酒肉朋友	1	
4147:	酒绿灯红	1	
4148:	家学渊源	1	
4149:	家无担石	1	
4150:	昏天黑地	1	
4151:	昏头昏脑	1	
4152:	绘影绘声	1	
4153:	诲淫诲盗	1	
4154:	悔过自新	1	
4155:	惠而不费	1	
4156:	魂不守舍	1	
4157:	魂飞胆破	1	
4158:	混淆黑白	1	
4159:	豁达大度	1	
4160:	浑然天成	1	
4161:	魂牵梦萦	1	
4162:	魂飞天外	1	
4163:	回眸一笑	1	
4164:	回光返照	1	
4165:	花甲之年	1	
4166:	花容月貌	1	
4167:	花花世界	1	
4168:	虎头虎脑	1	
4169:	虎口拔牙	1	
4170:	花香鸟语	1	
4171:	画虎不成	1	
4172:	黄钟大吕	1	
4173:	恍如隔世	1	
4174:	黄道吉日	1	
4175:	还我河山	1	
4176:	欢喜冤家	1	
4177:	活蹦乱跳	1	
4178:	火急火燎	1	
4179:	急风暴雨	1	
4180:	急公好义	1	
4181:	急不择言	1	
4182:	及时行乐	1	
4183:	极目远眺	1	
4184:	集腋成裘	1	
4185:	急如星火	1	
4186:	急中生智	1	
4187:	家长里短	1	
4188:	家徒四壁	1	
4189:	寂寂无闻	1	
4190:	疾声厉色	1	
4191:	急於求成	1	
4192:	极乐世界	1	
4193:	极而言之	1	
4194:	祸福相倚	1	
4195:	祸起萧墙	1	
4196:	祸从天降	1	
4197:	火烧眉毛	1	
4198:	火上添油	1	
4199:	积年累月	1	
4200:	积习难改	1	
4201:	鸡鸣狗盗	1	
4202:	吉祥如意	1	
4203:	鸡飞狗走	1	
4204:	鸡飞狗跳	1	
4205:	鸡飞蛋打	1	
4206:	返璞归真	1	
4207:	返老还童	1	
4208:	不期而然	1	
4209:	不忍卒读	1	
4210:	不念旧恶	1	
4211:	不能自已	1	
4212:	不可胜数	1	
4213:	不可向迩	1	
4214:	不容置喙	1	
4215:	不识好歹	1	
4216:	不赞一词	1	
4217:	不知好歹	1	
4218:	不无小补	1	
4219:	不死不活	1	
4220:	不识之无	1	
4221:	不拘小节	1	
4222:	不咎既往	1	
4223:	不拔之志	1	
4224:	不白之冤	1	
4225:	伯乐相马	1	
4226:	博学多才	1	
4227:	波光粼粼	1	
4228:	不成体统	1	
4229:	不耻下问	1	
4230:	不分彼此	1	
4231:	不教而诛	1	
4232:	不乏先例	1	
4233:	不得善终	1	
4234:	不揣冒昧	1	
4235:	不知进退	1	
4236:	不知就里	1	
4237:	长江天堑	1	
4238:	长生不老	1	
4239:	长歌当哭	1	
4240:	缠绵悱恻	1	
4241:	察言观行	1	
4242:	察颜观色	1	
4243:	长生不死	1	
4244:	超群拔萃	1	
4245:	趁人之危	1	
4246:	称名道姓	1	
4247:	晨钟暮鼓	1	
4248:	朝秦暮楚	1	
4249:	朝发夕至	1	
4250:	茶馀饭後	1	
4251:	插翅难逃	1	
4252:	不徇私情	1	
4253:	擦脂抹粉	1	
4254:	不尴不尬	1	
4255:	不足为训	1	
4256:	不知死活	1	
4257:	才高八斗	1	
4258:	灿烂辉煌	1	
4259:	草长莺飞	1	
4260:	草芥人命	1	
4261:	草草了事	1	
4262:	仓皇失措	1	
4263:	苍松翠柏	1	
4264:	病从口入	1	
4265:	秉公办理	1	
4266:	百年之好	1	
4267:	百年之约	1	
4268:	百年不遇	1	
4269:	百口莫辩	1	
4270:	白云苍狗	1	
4271:	白璧无瑕	1	
4272:	百无一用	1	
4273:	稗官野史	1	
4274:	半死不活	1	
4275:	半文半白	1	
4276:	半路出家	1	
4277:	半壁河山	1	
4278:	班师回朝	1	
4279:	巴山蜀水	1	
4280:	八万四千	1	
4281:	爱屋及乌	1	
4282:	安份守己	1	
4283:	爱民如子	1	
4284:	碍手碍脚	1	
4285:	哀痛欲绝	1	
4286:	安家立业	1	
4287:	安民告示	1	
4288:	傲然屹立	1	
4289:	八面玲珑	1	
4290:	暗中摸索	1	
4291:	按步就班	1	
4292:	安贫乐道	1	
4293:	包罗万有	1	
4294:	剥茧抽丝	1	
4295:	变动不居	1	
4296:	变化无常	1	
4297:	便宜行事	1	
4298:	避强击弱	1	
4299:	闭门自守	1	
4300:	壁立千仞	1	
4301:	变化无穷	1	
4302:	变幻无穷	1	
4303:	兵强马壮	1	
4304:	兵凶战危	1	
4305:	兵不厌诈	1	
4306:	别具匠心	1	
4307:	标新立异	1	
4308:	笔酣墨饱	1	
4309:	比肩而立	1	
4310:	饱学之士	1	
4311:	饱以老拳	1	
4312:	饱食终日	1	
4313:	饱经世故	1	
4314:	饱经风霜	1	
4315:	宝刀不老	1	
4316:	暴虎冯河	1	
4317:	奔走呼号	1	
4318:	逼良为娼	1	
4319:	悲喜交集	1	
4320:	悲天悯人	1	
4321:	暴殄天物	1	
4322:	称心满意	1	
4323:	成人之美	1	
4324:	鼎足而三	1	
4325:	丢三拉四	1	
4326:	鼎足而立	1	
4327:	调虎离山	1	
4328:	典章文物	1	
4329:	调和鼎鼐	1	
4330:	东奔西跑	1	
4331:	东奔西走	1	4
4332:	东征西讨	1	
4333:	动人心弦	1	
4334:	东歪西倒	1	
4335:	东拼西凑	1	
4336:	东南半壁	1	
4337:	点头之交	1	
4338:	颠沛流离	1	
4339:	得意扬扬	1	
4340:	得鱼忘筌	1	
4341:	得失成败	1	
4342:	得陇望蜀	1	
4343:	道义之交	1	
4344:	登高一呼	1	
4345:	低眉顺眼	1	
4346:	帝王将相	1	
4347:	颠倒乾坤	1	
4348:	地大物博	1	
4349:	敌忾同仇	1	
4350:	低吟浅唱	1	
4351:	动心忍性	1	
4352:	栋梁之材	1	
4353:	耳红面赤	1	
4354:	耳闻目染	1	
4355:	耳根清净	1	
4356:	耳聪目明	1	
4357:	恩重如山	1	
4358:	儿女情长	1	
4359:	发财致富	1	
4360:	翻江倒海	1	
4361:	反躬自省	1	
4362:	反面教员	1	
4363:	反唇相稽	1	
4364:	凡夫俗子	1	
4365:	繁文缛节	1	
4366:	恩怨分明	1	
4367:	多难兴邦	1	
4368:	独立王国	1	
4369:	独木难支	1	
4370:	独夫民贼	1	
4371:	抖擞精神	1	
4372:	洞察其奸	1	
4373:	独往独来	1	
4374:	独行独断	1	
4375:	囤积居奇	1	
4376:	多快好省	1	
4377:	对症之药	1	
4378:	断垣残壁	1	
4379:	度日如年	1	
4380:	道德文章	1	
4381:	蹈其覆辙	1	
4382:	传诵一时	1	
4383:	窗明几净	1	
4384:	楚才晋用	1	
4385:	除旧布新	1	
4386:	愁云惨雾	1	
4387:	出师有名	1	
4388:	创业维艰	1	
4389:	吹弹得破	1	
4390:	慈眉善目	1	
4391:	此恨绵绵	1	
4392:	春寒料峭	1	
4393:	春光明媚	1	
4394:	春风化雨	1	
4395:	愁眉不展	1	
4396:	宠辱不惊	1	
4397:	承先启后	1	
4398:	持平之论	1	
4399:	承前启後	1	
4400:	惩前毖后	1	
4401:	成双成对	1	
4402:	持盈保泰	1	
4403:	持之有故	1	
4404:	尺有所短	1	
4405:	赤县神州	1	
4406:	齿白唇红	1	
4407:	迟暮之年	1	
4408:	池鱼之殃	1	
4409:	聪明一世	1	
4410:	粗茶淡饭	1	
4411:	大张声势	1	
4412:	大张挞伐	1	
4413:	大有起色	1	
4414:	大题小作	1	
4415:	大煞风景	1	
4416:	大智若愚	1	
4417:	戴罪立功	1	
4418:	弹无虚发	1	
4419:	当耳旁风	1	
4420:	弹冠相庆	1	
4421:	胆小如鼠	1	
4422:	胆大心细	1	
4423:	大人先生	1	
4424:	大仁大义	1	
4425:	打家劫舍	1	
4426:	打死老虎	1	
4427:	措置裕如	1	
4428:	寸有所长	1	
4429:	篡党夺权	1	
4430:	打铁趁热	1	
4431:	大而无当	1	
4432:	大江东去	1	
4433:	大气磅礴	1	
4434:	大吉大利	1	
4435:	大放厥辞	1	
4436:	大方之家	1	
4437:	孔孟之道	1	
4438:	口齿伶俐	1	
4439:	四大皆空	1	
4440:	四方八面	1	
4441:	死皮赖脸	1	
4442:	死而后已	1	
4443:	私心杂念	1	
4444:	死不悔改	1	
4445:	四战之地	1	
4446:	似水流年	1	
4447:	岁月蹉跎	1	
4448:	所费不赀	1	
4449:	算无遗策	1	
4450:	俗不可耐	1	
4451:	搜肠刮肚	1	
4452:	说来话长	1	
4453:	说东道西	1	
4454:	束手缚脚	1	
4455:	双宿双飞	1	
4456:	束手待毙	1	
4457:	树大根深	1	
4458:	鼠窃狗偷	1	
4459:	水滴石穿	1	
4460:	水来土掩	1	
4461:	说长道短	1	
4462:	说长论短	1	
4463:	瞬息之间	1	
4464:	水中捞月	1	
4465:	水月观音	1	
4466:	踏破铁鞋	1	
4467:	贪财好色	1	
4468:	同仇敌慨	1	
4469:	投鞭断流	1	
4470:	通家之好	1	
4471:	亭台楼阁	1	
4472:	铁桶江山	1	
4473:	铁嘴钢牙	1	
4474:	头昏眼花	1	
4475:	图财害命	1	
4476:	推三阻四	1	
4477:	吞云吐雾	1	
4478:	兔死狐悲	1	
4479:	土豪劣绅	1	
4480:	徒有其名	1	
4481:	铁石心肠	1	
4482:	条分缕析	1	
4483:	腾云驾雾	1	
4484:	天差地远	1	
4485:	探头探脑	1	4
4486:	谈笑自若	1	
4487:	谈虎色变	1	
4488:	天公地道	1	
4489:	天理人情	1	
4490:	天旋地转	1	
4491:	挑三拣四	1	
4492:	天下无双	1	
4493:	天随人愿	1	
4494:	天上人间	1	
4495:	鼠目寸光	1	
4496:	蜀犬吠日	1	
4497:	声名狼籍	1	
4498:	声情并茂	1	
4499:	沈默寡言	1	
4500:	神色自若	1	
4501:	神气十足	1	
4502:	神清气爽	1	
4503:	生花妙笔	1	
4504:	生离死别	1	
4505:	生死之交	1	
4506:	胜任愉快	1	
4507:	生死与共	1	
4508:	生杀予夺	1	
4509:	生民涂炭	1	
4510:	神机妙算	1	
4511:	深山幽谷	1	
4512:	少不经事	1	
4513:	少言寡语	1	
4514:	稍胜一筹	1	
4515:	上下同欲	1	
4516:	赏罚分明	1	
4517:	舍己救人	1	
4518:	舍己为人	1	
4519:	深明大义	1	
4520:	深情厚意	1	
4521:	身心交瘁	1	
4522:	身历其境	1	
4523:	舍生取义	1	
4524:	诗情画意	1	
4525:	十万火急	1	
4526:	手不停挥	1	
4527:	首善之区	1	
4528:	视如敝屣	1	
4529:	市井之徒	1	
4530:	是非颠倒	1	
4531:	是古非今	1	
4532:	首鼠两端	1	
4533:	寿比南山	1	
4534:	书声琅琅	1	
4535:	熟能生巧	1	
